index,slot,label,category,status,coverage_group,board_screenshot,swift_screenshot,purpose,primary_actions,states,required_data,coverage_notes
11,proofcard,Proof Card · completion attestation,Proof and completion,matches,current-captured,board-screenshots/11-proof-card-completion-attestation.jpg,swift-screenshots/gallery-proof.jpg,Summarize what an agent completed and provide evidence that the result can be trusted.,Review completed work.; Open changed files or CI results.; Share or save proof evidence.,Proof complete; Proof pending; Proof failed or missing,Goal; Changed files; Tests or CI outcome; Commit/branch; Evidence timestamp,Dedicated gallery route captured.
12,loopdetail,Loop · goal → plan → CI → proof,Loop supervision,partial,partial-or-route-gap,board-screenshots/12-loop-goal-plan-ci-proof.jpg,,"Show the full lifecycle of an agent loop from goal through plan, execution, CI, and proof.",Review each loop stage.; Open CI or proof detail.; Stop or redirect the loop when supported.,Planning; Executing; Waiting on CI; Ready for proof; Completed; Failed,Goal; Plan steps; Current stage; CI events; Proof status; Policy exceptions,Swift view exists with CI/proof sections; no direct screenshot route captured.
13,worktreeboard,Worktrees · 3-column branch supervision,Branch supervision,partial,partial-or-route-gap,board-screenshots/13-worktrees-3-column-branch-supervision.jpg,,"Compare multiple active worktrees or branches and help the user decide what should continue, merge, or stop.",Open a worktree.; Compare progress across branches.; Stop or archive stale work.; Promote the best branch.,No worktrees; Multiple active worktrees; Conflict or stale branch,Branch name; Goal; Status; Last activity; Changed files; CI/proof state,Swift view exists; no direct screenshot route captured.
14,nudge,Nudge · mid-run instruction,Run control,Swift empty / not built,future-needed,board-screenshots/14-nudge-mid-run-instruction.jpg,,Send a mid-run instruction to an agent without restarting the task.,Write a follow-up instruction.; Choose whether the instruction is advisory or blocking.; Submit or cancel the nudge.,Agent can receive nudges; Agent cannot receive nudges; Submitting nudge,Current run; Current step; Instruction text; Delivery state,No Swift route/view found for the board nudge composer.
15,switch-model,Switch model · mid-run,Run control,Swift empty / not built,future-needed,board-screenshots/15-switch-model-mid-run.jpg,,"Change the model or provider used by an active run when cost, quota, privacy, or capability needs change.",Select another model/provider.; Review impact before switching.; Confirm or cancel the change.,Switch available; Switch blocked by policy; Quota-limited provider,Current model; Available models; Provider limits; Privacy/data-leaving-host status; Estimated cost impact,No Swift route/view found for mid-run model switching.
16,cievents,CI / PR Event Feed,CI and repository events,partial,partial-or-route-gap,board-screenshots/16-ci-pr-event-feed.jpg,,"Show repository checks, pull request events, and CI status related to agent work.","Open a CI event.; Filter by run, branch, or status.; Retry or inspect failed checks when supported.",Checks passing; Checks failing; Checks running; No CI connected,Repository; Branch/PR; Check name; Status; Timestamp; Failure reason,"Backend/client support exists inside loop detail, but no standalone feed route was captured."
17,budget-sheet,Budget · set-run-budget overlay,Cost control,partial,partial-or-route-gap,board-screenshots/17-budget-set-run-budget-overlay.jpg,,Set or adjust the spend limit for one run before or during execution.,Enter a run budget.; Review current spend.; Confirm or cancel the budget change.,Budget available; Budget exceeded; Budget cannot be changed,Current spend; Proposed limit; Remaining quota; Provider,Budget sheet exists behind RunDetailView; no stable sheet screenshot route captured.
18,run-detail-v2,Run detail · control surface (v2),Run control,partial,partial-or-route-gap,board-screenshots/18-run-detail-control-surface-v2.jpg,,"Provide a single control surface for monitoring, stopping, budgeting, and reviewing a run.","Stop/pause/resume where available.; Open proof, files, CI, and activity.; Change budget or send a nudge when available.",Running; Waiting for user; Blocked; Complete; Failed,Goal; Status; Cost; Model; Host; Recent events; Available controls,Swift RunDetailView exists; no direct screenshot route captured.
19,dispatch,Dispatch · start a task (NEW),Task start,partial,partial-or-route-gap,board-screenshots/19-dispatch-start-a-task-new.jpg,,"Start a new agent task with the right host, repository, provider, budget, and policy context.",Enter a task goal.; Choose host or workspace.; Choose agent/model if available.; Set optional budget or caution level.; Submit the task.,Ready to submit; Missing host/workspace; Policy blocks dispatch; Submitting,Goal; Host; Repository/path; Agent runtime; Model/provider; Budget; Policy preset,"Swift DispatchView exists and is reachable as a sheet, but was not captured by stable automation."
20,policy,Policy · presets + effect chips,Policy and governance,partial,partial-or-route-gap,board-screenshots/20-policy-presets-effect-chips.jpg,,Let the user choose and understand policy presets that determine what agents can do without asking.,Select a policy preset.; Inspect what each preset permits or blocks.; Open custom policy editing.,Balanced/default preset; Stricter preset; Custom policy; Invalid policy,Preset name; Allowed actions; Ask-required actions; Denied actions; Risk coverage,Swift policy editor exists; no direct screenshot route captured.
21,policy-yaml,Policy · edit policy.yaml + reload,Policy and governance,partial,partial-or-route-gap,board-screenshots/21-policy-edit-policy-yaml-reload.jpg,,Edit the bridge policy file and reload it on the host.,View policy YAML.; Edit and save policy YAML.; Reload policy on the bridge.; Open policy simulation.,Saved; Unsaved edits; Reload failed; Invalid YAML,Policy file path; YAML body; Validation errors; Reload result,Swift bridge policy editor/reload path exists; live bridge data not captured.
22,notifications,Settings · notifications + quiet hours,Settings,partial,partial-or-route-gap,board-screenshots/22-settings-notifications-quiet-hours.jpg,swift-screenshots/tab-settings.png,Configure which agent and approval events notify the user and when notifications should be quiet.,Enable or disable notification classes.; Set quiet hours.; Test notification delivery when supported.,Notifications enabled; Notifications disabled; Quiet hours active; Permission missing,Notification categories; Quiet-hours schedule; Permission state,Settings root captured; detailed notification controls are below/inside settings.
23,providerkeys,Settings · provider keys (multi-vendor),Provider setup,partial,partial-or-route-gap,board-screenshots/23-settings-provider-keys-multi-vendor.jpg,,Manage provider credentials and model access without exposing secrets unnecessarily.,Add or update provider credentials.; Verify a provider connection.; Remove a provider credential.,Provider connected; Missing credential; Credential invalid; Verification pending,Provider name; Credential status; Available models; Last verified time,Swift provider keys view exists; no pushed view screenshot captured.
24,settings,Settings · Library dissolved,Settings,partial,partial-or-route-gap,board-screenshots/24-settings-library-dissolved.jpg,swift-screenshots/tab-settings.png,"Collect account, security, policy, notifications, billing, provider, relay, and advanced configuration entry points.",Open a settings section.; Review app and bridge status.; Manage account/billing/security settings.,Connected; Disconnected; Needs setup; Entitlement missing,Account state; Bridge state; Security settings; Billing state; Provider state,Settings root exists and Library is not a root tab; target board is denser.
25,policysimulator,Policy Simulator · past N days,Policy and governance,partial,partial-or-route-gap,board-screenshots/25-policy-simulator-past-n-days.jpg,,Estimate how a policy would have affected recent agent activity before applying it.,Choose a time window.; Run a simulation.; Review changed outcomes.; Apply or revise the policy.,Ready to simulate; Simulation running; Simulation complete; Simulation failed,Policy input; Period; Allowed/asked/denied counts; Top affected rules; Representative events,Swift simulator view exists from policy editor; no screenshot route captured.
26,secrets,Secrets · vault + pending requests,Secrets and permissions,partial,partial-or-route-gap,board-screenshots/26-secrets-vault-pending-requests.jpg,,Show available secret metadata and pending agent requests for secret access.,Approve or deny a secret request.; Inspect secret metadata.; Revoke or rotate access where supported.,No secrets; Secrets available; Pending secret requests; Backend unavailable,Secret name/metadata; Requester; Requested scope; Decision history,Swift secrets view exists; live secret data is owner-only/live-data.
27,onb-1,Onboarding 1 · hero,Onboarding,partial,partial-or-route-gap,board-screenshots/27-onboarding-1-hero.jpg,swift-screenshots/gallery-onboarding.png,Introduce the product’s primary job and start the setup flow.,Continue setup.; Learn what needs to be connected.,First launch; Returning user who has not completed setup,Setup progress; Primary value proposition; Next setup step,Swift onboarding exists but visual direction differs from the board.
28,onb-2,Onboarding 2 · pair the bridge (no SSH),Onboarding,partial,partial-or-route-gap,board-screenshots/28-onboarding-2-pair-the-bridge-no-ssh.jpg,swift-screenshots/gallery-onboarding-b.jpg,Pair the phone with the bridge or local control plane without requiring the user to understand SSH first.,Start pairing.; Scan or enter a pairing code.; Handle pairing failure.,Ready to pair; Pairing; Pairing failed; Pairing complete,Pairing code/link; Bridge identity; Connection state,Alternate onboarding gallery captured; exact board step not isolated.
29,onb-3,Onboarding 3 · choose caution,Onboarding,partial,partial-or-route-gap,board-screenshots/29-onboarding-3-choose-caution.jpg,swift-screenshots/gallery-onboarding-b.jpg,Choose the initial caution/autonomy level for agent approvals.,Select a caution level.; Review what the level means functionally.; Continue setup.,Default level selected; Strict level selected; Custom level selected,Caution level; Actions that ask; Actions that auto-allow; Actions that deny,Caution/autonomy exists in onboarding/settings; exact board step not isolated.
30,onb-4,Onboarding 4 · first run + demo,Onboarding,partial,partial-or-route-gap,board-screenshots/30-onboarding-4-first-run-demo.jpg,swift-screenshots/gallery-onboarding.png,Guide the user into the first run or demo after basic setup is complete.,Start first run.; Open demo approval.; Finish onboarding.,Ready for first run; Demo available; Setup incomplete,Selected host; Selected policy; Demo task,First-run demo treatment is board-only as a composed artboard.
31,addhost,Advanced · add host over SSH,Host setup,partial,partial-or-route-gap,board-screenshots/31-advanced-add-host-over-ssh.jpg,,Connect a new host that agents can use for work.,Enter host details.; Choose authentication method.; Test connection.; Save host.,Empty form; Testing connection; Authentication needed; Connection failed; Host saved,Host name; Address; Port; Username; Authentication status,Swift AddHostView exists; sheet capture was not stable in this pass.
32,tofu,Advanced · trust host key (TOFU),Host setup and trust,owner-only/live-data,requires-live-data,board-screenshots/32-advanced-trust-host-key-tofu.jpg,,Ask the user to trust or reject a host key the first time a host is connected.,Review host fingerprint.; Trust and continue.; Reject and stop connection.,Unknown host key; Fingerprint changed; Trusted key stored,Host; Fingerprint; Previous fingerprint if changed; Connection target,Requires live SSH host-key flow; not faked in screenshots.
33,sshkeys,Advanced · SSH keys (kept · real data),Credentials,owner-only/live-data,requires-live-data,board-screenshots/33-advanced-ssh-keys-kept-real-data.jpg,,Show SSH key material status and keychain-backed access without exposing private key contents.,Add or import a key.; Unlock a key when needed.; Remove or rotate a key.,No key; Key available; Unlock required; Key verification failed,Key label; Fingerprint; Host association; Unlock state,Keychain/real-key state exists but was not captured with private data.
34,terminal,Power-user · live block session,Power-user session,partial,partial-or-route-gap,board-screenshots/34-power-user-live-block-session.jpg,swift-screenshots/gallery-session.jpg,Provide deeper access to a live session transcript and command blocks for users who need to inspect execution.,Read live output.; Send input when allowed.; Switch between block and raw session modes when supported.,Connected; Connecting; Disconnected; Raw full-screen program active,Host; Current directory; Command blocks; Output stream; Connection state,Session gallery captured; live terminal data is owner-only/live-data.
35,diff,Diff · approve a write,File change review,matches,current-captured,board-screenshots/35-diff-approve-a-write.jpg,swift-screenshots/gallery-diff.jpg,Let the user inspect a proposed file change before approving an agent write.,Review changed hunks.; Approve or deny the write.; Open affected file detail.,Diff available; Large diff; Binary or unsupported file; Write already decided,File path; Added/removed lines; Requesting agent; Decision state,Dedicated diff gallery route captured.
36,fileviewer,File viewer · tap a file → drawer (NEW),File review,partial,partial-or-route-gap,board-screenshots/36-file-viewer-tap-a-file-drawer-new.jpg,swift-screenshots/gallery-filepreview.jpg,Preview a file or selected changed file from an agent run.,Open a file.; Move between files.; Return to run or diff context.,File loaded; File unavailable; Unsupported file type,File path; File content or preview; Related run/change,File preview gallery captured; board drawer interaction is newer target design.
37,e2erelay,Relay pairing · E2E status,Relay and security,partial,partial-or-route-gap,board-screenshots/37-relay-pairing-e2e-status.jpg,,Pair and monitor the encrypted relay path used for approvals and status updates.,Start pairing.; Verify relay state.; Disconnect or repair pairing.,Unpaired; Pairing; Paired; Disconnected; Error,Relay URL/state; Pairing state; Encryption/session state,Swift relay pairing view exists; no pushed view screenshot captured.
38,doctor,Doctor · health check,Diagnostics,partial,partial-or-route-gap,board-screenshots/38-doctor-health-check.jpg,,"Run health checks that explain why setup, bridge, relay, notifications, or provider access is not working.",Run checks.; Open fix instructions for failed checks.; Re-run after fixing.,All checks pass; Some checks fail; Checks running; Unable to run checks,Check name; Pass/fail state; Failure reason; Suggested fix,Swift doctor view exists; no pushed view screenshot captured.
39,allowalways-scope,Allow always · scope config,Policy and governance,partial,partial-or-route-gap,board-screenshots/39-allow-always-scope-config.jpg,,Define the exact scope of a reusable allow rule before it is saved.,Choose tool/action scope.; Choose host/path/repository scope.; Set expiration if supported.; Save or cancel rule.,Safe narrow scope; Broad scope warning; Invalid scope,Tool/action; Host; Path/repository; Risk level; Expiration,Swift scope sheet exists; no stable isolated screenshot route captured.
40,trust-privacy,Trust & Privacy · what leaves your host,Trust and privacy,partial,partial-or-route-gap,board-screenshots/40-trust-privacy-what-leaves-your-host.jpg,swift-screenshots/tab-settings.png,Explain what data leaves the host and what remains local for each product capability.,"Review data paths.; Open related settings for relay, providers, or keys.",Local-only path; Cloud provider path; Relay path; Unknown or misconfigured path,Capability; Data sent; Destination; Control/revocation path,Settings entry exists; detailed trust screen was not captured.
41,fleet-privacy,Fleet · model + privacy,Fleet and providers,partial,partial-or-route-gap,board-screenshots/41-fleet-model-privacy.jpg,swift-screenshots/tab-fleet.png,"Show model, provider, and privacy state per host or active agent.",Inspect a host/agent.; Open provider settings.; Switch to a safer provider when supported.,Local model; Cloud model; Relay protected; Provider missing,Host; Agent; Model; Provider; Data path; Quota/spend,Fleet has model/privacy badges; board detail is newer target design.
42,auditchain,Audit · tamper-evident chain,Audit and compliance,partial,partial-or-route-gap,board-screenshots/42-audit-tamper-evident-chain.jpg,,Show tamper-evident audit records and verification status for decisions and bridge events.,Verify audit chain.; Export audit records.; Open event detail.,Verified; Verification failed; No audit records; Exporting,Audit events; Hash/verification state; Export file; Event metadata,Audit chain view and verification model exist; no pushed view screenshot captured.
43,hosthealth,Host health · daemon detail,Fleet diagnostics,partial,partial-or-route-gap,board-screenshots/43-host-health-daemon-detail.jpg,swift-screenshots/tab-fleet.png,Show detailed daemon and host health for one connected machine.,Refresh health.; Open failed check details.; Reconnect or run doctor.,Healthy; Degraded; Offline; Unknown,Daemon status; Version; Latency; Disk/process checks; Last heartbeat,Swift has host health polling/badge; no daemon-detail screen found.
44,usage,Billing · spend + quota remaining,Billing and quota,matches,current-captured,board-screenshots/44-billing-spend-quota-remaining.jpg,swift-screenshots/gallery-billing.jpg,"Show spend, quota, usage, and billing state across providers or the app account.",Review usage.; Open plan or billing management.; Inspect quota alerts.,Within quota; Near quota; Over quota; Billing unavailable,Current spend; Quota remaining; Billing period; Provider breakdown; Plan,Dedicated billing gallery route captured.
45,paywall,Lancer Pro · paywall,Billing,matches,current-captured,board-screenshots/45-lancer-pro-paywall.jpg,swift-screenshots/gallery-paywall.jpg,Explain why a paid capability is unavailable and let the user upgrade or compare plans.,Review locked capability.; Compare plan options.; Start upgrade or dismiss.,Feature locked; Already subscribed; Store unavailable,Feature name; Plan options; Entitlement state,Dedicated paywall gallery route captured.
46,quotaguard,Quota · per-provider dashboard,Cost control,partial,partial-or-route-gap,board-screenshots/46-quota-per-provider-dashboard.jpg,,Show per-provider quota and spend guardrails so users can prevent unexpected cost or blocked runs.,Review quota by provider.; Open provider detail.; Adjust alerts or limits where supported.,Healthy quota; Near limit; Limit reached; Provider unavailable,Provider; Spend; Quota; Alert threshold; Recent usage,Swift QuotaGuardView exists; no direct screenshot route captured.
47,rm-lib,Library hub → dissolved,Information architecture decision,matches,current-captured,board-screenshots/47-library-hub-dissolved.jpg,swift-screenshots/tab-settings.png,Document that Library should not be a primary app destination and its useful pieces should move into more relevant flows.,"Use this as a design constraint, not a user-facing screen.",Not a shipping screen,Moved features; Destination surfaces,Swift root IA has no Library tab; library responsibilities are dissolved.
48,rm-shell,Session surface switcher → deleted,Information architecture decision,matches,current-captured,board-screenshots/48-session-surface-switcher-deleted.jpg,,Document that a session surface switcher should not be a primary navigation model.,"Use this as a design constraint, not a user-facing screen.",Not a shipping screen,Kept deep tools; Removed primary navigation concept,No root session surface switcher is present in captured root tabs.
49,rm-keys,Mock SSH host counts → fixed (real data),Data correctness decision,partial,partial-or-route-gap,board-screenshots/49-mock-ssh-host-counts-fixed-real-data.jpg,swift-screenshots/tab-fleet.png,Document that host and key counts should reflect real data rather than placeholder counts.,Use real counts wherever this information appears.,No real data; Real data available; Unable to load data,Host count; Key count; Credential status,Fleet uses real/debug-seeded host data; exact board note is not a product screen.
50,decisions,Decisions applied,Design decision log,intentionally deferred,decision-reference,board-screenshots/50-decisions-applied.jpg,,Summarize product decisions that should guide the remaining page designs.,Use as designer reference.,Not a shipping screen,Decision; Reason; Affected surfaces,Board decision card is not meant to become a Swift screen.
51,ramp,Risk ramp · independent of brand,Risk model,partial,partial-or-route-gap,board-screenshots/51-risk-ramp-independent-of-brand.jpg,swift-screenshots/gallery-features.jpg,Define how risk levels should map to approval behavior independent of provider branding.,"Use risk mapping when designing approval, policy, and notification flows.",Low risk; Medium risk; High risk; Critical risk,Risk level; Default action; Authentication requirement; Policy override,Risk logic and UI states exist; board card is a product/design rationale artifact.
52,sessionview,SessionView · full-screen block terminal,Power-user session,partial,partial-or-route-gap,board-screenshots/52-session-view.jpg,swift-screenshots/gallery-session.jpg,"Provide a full-screen block terminal session showing agent work, live command blocks with status, output streaming, and a chat input bar.","Read live output from running commands.; Send input or follow-up instructions.; Inspect block status (running, completed, failed).",Connected and streaming; Connecting; Disconnected; Idle prompt,Host and directory context; Command blocks with timestamps; Output stream per block; Connection state,Session gallery route exists; board adds richer block card treatment and persistent chat input.
53,chat-transcript,ChatTranscriptView · scrollable block transcript,Power-user session,partial,partial-or-route-gap,board-screenshots/53-chat-transcript-view.jpg,swift-screenshots/gallery-session.jpg,"Render a scrollable transcript of agent tool cards, commands, outputs, and status per block.",Scroll through block history.; Tap a block to expand or inspect.; Open block action menu.,Populated transcript; Empty transcript; Streaming new blocks,Block list; Per-block status and output; Agent identity,ChatTranscriptView exists; board adds refined block card layout.
54,toolcard,ToolCardView · individual agent tool card,Power-user session,partial,partial-or-route-gap,board-screenshots/54-tool-card-view.jpg,swift-screenshots/gallery-session.jpg,"Display one agent tool invocation with its command, output, status badges, blast chips, and action buttons.","View command and output.; Approve, deny, or edit a pending tool.; Inspect blast radius chips.",Running; Completed; Failed; Waiting for approval,"Tool name; Command; Output; Blast chips (files, git, network, credentials); Status badge",ToolCardView exists; board adds blast chips and richer status treatment.
55,chat-input,ChatInputBar · bottom input bar,Power-user session,partial,partial-or-route-gap,board-screenshots/55-chat-input-bar.jpg,swift-screenshots/gallery-session.jpg,Provide a persistent text input at the bottom of the session for sending commands to the agent.,Type a command or message.; Send input.; Open attachments or shortcuts.,Idle; Typing; Sending; Disabled (disconnected),Prompt prefix (›); Placeholder text; Send button state,ChatInputBar exists in the session gallery; board refines the accessory rail integration.
56,keyboard-rail,KeyboardAccessoryRail · shortcut rail,Power-user session,partial,partial-or-route-gap,board-screenshots/56-keyboard-accessory-rail.jpg,,Show a horizontal rail of common command chips above the keyboard for quick input.,Tap a shortcut chip to insert the command.; Scroll the chip list.,Default chips; Customized chips; Empty (no shortcuts configured),"Chip labels (git, npm, swift, curl, etc.); Associated commands",Keyboard rail exists as a configurable accessory; board shows default chip set.
57,qr-scanner,QRScannerView · camera QR scanner,Onboarding and pairing,partial,partial-or-route-gap,board-screenshots/57-qr-scanner-view.jpg,swift-screenshots/gallery-onboarding-b.jpg,Scan a bridge pairing QR code as the primary onboarding path.,Scan a QR code.; Enter pairing code manually as fallback.; Handle scan failure or timeout.,Scanning; Code scanned; Scan failed; Permission denied,Camera feed; Viewfinder overlay; Manual entry link; Instructions,QR scanning exists in onboarding; board adds refined viewfinder and instruction overlay.
58,bridge-pairing,BridgePairingView · bridge pairing screen,Relay and security,partial,partial-or-route-gap,board-screenshots/58-bridge-pairing-view.jpg,,"Show a 6-digit pairing code, QR toggle, and connection status for bridge pairing.",Display pairing code to the bridge CLI.; Switch between code and QR display.; Monitor connection progress.,Waiting for pairing; Pairing in progress; Paired; Pairing failed,Pairing code; QR representation; Bridge identity; Connection status,Bridge pairing flow exists in onboarding/relay views; board isolates the dedicated pairing card.
59,ssh-connect,SSHConnectOverlay · full-screen connecting overlay,Host setup,partial,partial-or-route-gap,board-screenshots/59-ssh-connect-overlay.jpg,,"Show a full-screen dark overlay with animated orbital rings, PixelAvatar, and phase text during SSH connection.",Cancel connection.; Monitor connection progress.,Connecting; Verifying; Setup; Done; Failed,Host identity; Phase label; PixelAvatar; Cancel action,Connection overlay exists in live SSH flow; board adds orbital animation treatment.
60,workspaces,WorkspacesView · saved hosts list,Host setup,partial,partial-or-route-gap,board-screenshots/60-workspaces-view.jpg,swift-screenshots/tab-fleet.png,"List saved SSH hosts with avatar, status dot, name, address, last used time, and FAB to add.",Open a host.; Add a new host.; Delete or edit an existing host.,Populated list; Empty list; Offline hosts; Loading,Host name; PixelAvatar; Status dot; Address; Last used time,Host list exists in fleet tab; board adds dedicated workspaces root with FAB.
61,host-editor,HostEditorView · SSH host form,Host setup,partial,partial-or-route-gap,board-screenshots/61-host-editor-view.jpg,,Provide a form for adding or editing SSH host configuration.,"Enter name, hostname, port, username.; Choose auth method (password or key).; Test connection.; Save host.",Empty form; Testing connection; Connection test succeeded; Connection test failed; Saving,Host name; Hostname/IP; Port; Username; Auth method; Test result,AddHostView exists; board refines the form layout and test-connection UX.
62,host-key-confirm,HostKeyConfirmSheet · TOFU host key trust,Host setup and trust,partial,partial-or-route-gap,board-screenshots/62-host-key-confirm-sheet.jpg,,Present a bottom sheet for TOFU host key trust decision on first connection.,Review host fingerprint.; Trust and connect.; Cancel and stop connection.,Unknown host key; Fingerprint changed; Trusted,Host name; SHA256 fingerprint visual; Trust and Cancel buttons,TOFU sheet exists in live SSH flow; board adds fingerprint visual and refined sheet design.
63,terminal-settings,TerminalSettingsView · shell and color scheme,Settings,partial,partial-or-route-gap,board-screenshots/63-terminal-settings-view.jpg,,"Configure default shell, color scheme, font size, and auto-connect toggle for the terminal.",Select default shell (bash/zsh/fish).; Pick a color scheme.; Adjust font size.; Toggle auto-connect.,Default settings; Customized settings; Unsupported shell selected,"Shell list; Color scheme list (Dark+, Solarized, Nord, Dracula, Gruvbox); Font size slider; Auto-connect toggle",Terminal settings exist; board adds curated color scheme selection.
64,e2e-relay,E2ERelayPairingView · relay status and pairing,Relay and security,partial,partial-or-route-gap,board-screenshots/64-e2e-relay-pairing-view.jpg,,"Display relay connection status, E2E encryption badge, pairing QR, and disconnect option.",View relay state.; Re-pair or disconnect.; Inspect encryption details.,Paired; Pairing; Unpaired; Disconnected,Relay URL/state; Encryption badge (X25519 + ChaCha20-Poly1305); Pairing QR; Disconnect button,Relay pairing view exists; board adds encryption algorithm badge.
65,trust-privacy-detail,TrustPrivacyView · data path explanations,Trust and privacy,partial,partial-or-route-gap,board-screenshots/65-trust-privacy-view.jpg,,"Explain per-feature what data stays local, goes to provider, or goes through relay with color-coded badges.",Review data paths for each capability.; Open related settings.,Local-only path; Cloud provider path; Relay path; Unknown path,Feature name; Data classification; Destination badge; Control path,Settings entry exists; board adds dedicated detail view with color-coded path badges.
66,premium-compare,PremiumComparisonView · Free vs Pro,Billing,partial,partial-or-route-gap,board-screenshots/66-premium-comparison-view.jpg,swift-screenshots/gallery-paywall.jpg,Compare Free and Pro plan features with check marks and plan columns.,Review feature differences.; Start upgrade flow.,Free plan; Pro plan; Loading,Feature list; Plan columns; Check marks; Upgrade call to action,Paywall gallery exists; board adds dedicated comparison view.
67,billing-history,BillingView · plan and invoice history,Billing,partial,partial-or-route-gap,board-screenshots/67-billing-view.jpg,swift-screenshots/gallery-billing.jpg,"Show current plan, next billing date, payment method, and invoice history.",View current plan.; Change payment method.; Browse invoice history.,Active subscription; No subscription; Payment method missing; Loading,Plan name; Next billing date; Payment method; Invoice list,"Billing gallery exists; board integrates plan, invoices, and payment method in one view."
